2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NORWEGIAN                     ,034,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,DUTCH                         ,033,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KRIO                          ,077,354,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BALINESE/JAVANESE/SUNDANESE                      ,086,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NUER                          ,076,32,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FINNISH                       ,014,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANUAK                         ,103,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CEBUANO                       ,036,48,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ARABIC                        ,002,203,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,OROMO                         ,074,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,HINDI                         ,019,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,JAPANESE                      ,024,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SPANISH                       ,045,69,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,KOREAN                        ,026,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,6503,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,INDONESIAN                    ,032,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SWAHILI                       ,070,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,FRENCH                        ,015,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SOMALI                        ,069,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
