Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Hmong,020,1013,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Krio,149,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Ukrainian,049,85,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,166,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Rwanda,093,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Sango,352,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Lingala,067,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Ewe,158,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Punjabi,117,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Finnish,014,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Dinka,220,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,English,011,32472,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Iban,251,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"English, Creolized",057,30,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Not Specific,052,120,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
