2019-20 Primary Home Language Totals,,,,,,,,,,,,
Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,19-20,0011,01,Anoka-Hennepin Public School District,Kikuyu,270,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Mandingo,302,41,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Wolaytta,396,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,"Bhutanese, Dzongkha",062,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Lingala,067,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Punjabi,117,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Khasi,268,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Ngumba,408,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,"Cebuano, ",036,17,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Hmong,020,1299,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Cantonese,108,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Gbandi ,238,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Catalan,205,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Nepali,068,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Gola,243,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
